ja,en,fil-PH,zh,th,vi,my,id,km
三連クランプ,Triple clamp,triple clamp,三连夹板、三连杆夹钳,"ชุดข้อสือ 3 ห่วงติดกัน, ชุดแคลมป์ข้อเสือ 3 ห่วงติดกัน",Kẹp ba,ြှ ၃ ဆု ကည် ပ်,Klam tripel.,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645)
ベルトコンベア （ベルコン）,Conveyor belt,belt conveyor,传送带,สายพานลําเลียง,Băng tải (gọi tắt là Berukon),သရွွဲ့လ ာ်းစက ် ါ်းပတ် (Belt conveyor),Konveyor sabuk (Ban berjalan),ែខ(cid:717)បន(cid:635)ះយន(cid:625)
かけや,Wooden mallet,maso,大木锤,"ค้อนไม้ขนาดใหญ, ่ ตะลุมพุก",Búa,သစ်သာ်းတအူ ကက်း စာ်း,Palu kayu berat,ញញ(cid:819)រេឈ(cid:822)
ランマ,Rammer,pambayo,夯土机、夯锤,"เครื(cid:1143)องกระทุ้ง,ด ิน เครื(cid:1143)องตบดิน",Máy đầm rung,သခမဖှိစက ် (Rammer),Stamper kuda,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី
自在クランプ,Swivel clamp,movable clamp,自由夹具,ข้อเสือเป็น (ข้อเสือที(cid:1143) สามารถหมุนไปมาได)้,"Kẹp xoay, khóa xoay",ြှ လည ၍်ဲ့ ရသသာ ညပ် (Adjustable/Movable clamp),Klam universal,ដង(cid:544)(cid:814)ំេសរ(cid:801)
キャッチクランプ,Catch clamp,catch clamp,夹具,"ชุดบีมแคลมป์กับข้อ เสือ, ชุดข้อเสือกับยูแค ลมป์ (ชุดแคลมป์ที(cid:1143)มี แคลมป์ยึดบีมและข้อ เสืออยู่คู่กัน)","Kẹp, khóa",ြှ ဖမ််းညပ်ကရှိ ှိယာ (Catch clamp),Jepitan pancingan,ដង(cid:544)(cid:814)ំ(cid:564)ប់
吊り上げ用クランプ,Lifting clamp,clamp para sa pagbuhat,夹钳吊具,"แคลมป์ยกเหล็ก, แค ลมป์ยก, แคลมป์จับยก เหล็ก",Kẹp nâng Renfroe,ြှ မ ရာတငွ သ် ်း ု သသာ ညပ်,Lifting klam,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ
直交クランプ,Fixed clamp,right angle clamp,直角交结用夹钳,ข้อเสือตั(cid:1144)งฉาก,"Kẹp cố định, khóa cố đ ịnh",ရုှိကသ် ထာငမ်ဲ့ နက် သသာ ြှ ညပ် (Orthogonal clamp),Jepitan,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់
ストレートシャックル,Straight shackle,straight shackle,直形钩环,สเก็นตัวย ู(อุปกรณ์ ห่วงโลหะที(cid:1143)ใช้สําหรับ คล้องยึดเข้ากับ อุปกรณ์ต่างๆ),Móc thẳng (hình chữ U),အသခဖာင ်ဲ့ တက် ငွ ်း် (Straight shackle),Mata-rantai lurus,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់
滑車,Pulley,kalo / pulley,滑车、滑轮,รอก,"Ròng rọc, Puli",စကသ် ်း,Katrol/Puli,ឧបករណ៏រ(cid:843)ក
クレーン,Crane,crane,吊车,"ปั(cid:1144)นจ, ั(cid:1143)เคนรน","Cần cẩu, cần trục",ဝန ် စက ် (ကရှိန်း် ),Kren,(cid:676)៉សុីនស(cid:636) (cid:817)ច
移動式クレーン,Mobile crane,mobile crane,移动式吊车,ปั(cid:1144)นจั(cid:1143)นชนิดเคลือนท,Xe cẩu tự hành,သရွွဲ့လ ာ်းန္ငှို သ် ညက်ဲ့ ရှိန်း်,Kren jalan,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត
介しゃくロープ,Guide rope,guy rope,补助绳,เชือกพยุงกันส่าย (เชือกที(cid:1143)ห้อยอยู่กับ ของที(cid:1143)ยกด้วยปั(cid:1144))นจั,"Cáp đuôi, cáp kéo lùi",ကရှိန်း် ခဖငပ်ဲ့ စစည်း် ခပန ် ှိန် တငွ ဆ် ယွ ရူ နက်ကြုံှိ်း,Tali teraju,ែខ(cid:717)ពួរជំនួយ
