言語,Page,番号,単語,翻訳
ミャンマー語,1,1,技能実習,အလပု ်သငတ် န်း်
ミャンマー語,1,2,技能実習生,အလပု ်သင်
ミャンマー語,1,3,工場,စကရ် ု
ミャンマー語,1,4,製造,ထတု လ် ပု ်မှု
ミャンマー語,1,5,機械,စက်
ミャンマー語,1,6,安全,လခ ု ြုံ မှု
ミャンマー語,1,7,危険（な）,အန္ရတ ာယ်(ရှိ သသာ)
ミャンマー語,1,8,危ない,အန္ရတ ာယရ် ှိ သည်
ミャンマー語,1,9,清掃,သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou)
ミャンマー語,1,10,非常口,အသရ်းသပေါ်ထကွ သ် ပါက်
ミャンマー語,1,11,注意,သတှိ
ミャンマー語,1,12,火事,မ ်းသလာငမ် ှု
ミャンマー語,1,13,事故,မသတာ်တဆမှု
ミャンマー語,1,14,服装,အဝတအ် စာ်း
ミャンマー語,1,15,安全装置,အန္ရတ ာယက် င်း် ရ င်း် သရ်းကရှိ ှိ ယာ
ミャンマー語,2,1,安全カバー,လခ ု ြုံ သရ်းကာဗာအဖ ု်း
ミャンマー語,2,2,けが,ဒဏရ် ာ
ミャンマー語,2,3,けがをする,ဒဏရ် ာရသည်
ミャンマー語,2,4,電源,လျှပ်စစ်ပါဝါ
ミャンマー語,2,5,電源を切る,လျှပ်စစ်ပါဝါပှိတသ် ည်
ミャンマー語,2,6,非常停止ボタン,အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့ လတု ်
ミャンマー語,2,7,非常停止ボタンを押す,အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့ လတု က် ှို န္ပှိ ်သည်
ミャンマー語,2,8,ルール,စည်း် ကမ််း
ミャンマー語,2,9,ルールを守る,စည်း် ကမ််းလကှို န် ာသည်
ミャンマー語,2,10,止める,ရပ်သည်
ミャンマー語,2,11,機械を止める,စကက် ှို ရပ်သည်
ミャンマー語,2,12,やって,လပု ်ပါ
ミャンマー語,2,13,止めて,ရပ်ပါ
ミャンマー語,2,14,取って,ယပူ ါ
ミャンマー語,2,15,だめ（な）,မလပု ်သင်(ဲ့ သသာ)
ミャンマー語,3,1,監理団体,စ မ ကပွ ်ကသ ရ်းအဖ ွွဲ့
ミャンマー語,3,2,技術移転,နည်း် ပညာလသ ခပာင်း် ခ င်း်
ミャンマー語,3,3,技能実習期間,အလပု ်သငတ် န်း် ကာလ
ミャンマー語,3,4,職種,အလပု ်အကငှို အ် မ ှိြုံ်းအစာ်း
ミャンマー語,3,5,在留資格,ဗ ဇာအမ ှိြုံ်းအစာ်း
ミャンマー語,3,6,パスポート,န္ငှို င် က ်းူ လကမ် တ်
ミャンマー語,3,7,在留カード,န္ငှို င် ခ ာ်းသာ်းမ တပ် ုတငက် တ်
ミャンマー語,3,8,入管,လဝက
ミャンマー語,3,9,在留期間,ဗ ဇာသကတ် မ််း
