言語,Page,番号,単語,翻訳
ミャンマー語,1,1.0,技能実習,အလပု ်သငတ် န်း်
ミャンマー語,1,2.0,技能実習生,အလပု ်သင်
ミャンマー語,1,3.0,工場,စကရ် ု
ミャンマー語,1,4.0,製造,ထတု လ် ပု ်မှု
ミャンマー語,1,5.0,機械,စက်
ミャンマー語,1,6.0,安全,လခ ု ြုံ မှု
ミャンマー語,1,7.0,危険（な）,အန္ရတ ာယ်(ရှိ သသာ)
ミャンマー語,1,8.0,危ない,အန္ရတ ာယရ် ှိ သည်
ミャンマー語,1,9.0,清掃,သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou)
ミャンマー語,1,10.0,非常口,အသရ်းသပေါ်ထကွ သ် ပါက်
ミャンマー語,1,11.0,注意,သတှိ
ミャンマー語,1,12.0,火事,မ ်းသလာငမ် ှု
ミャンマー語,1,13.0,事故,မသတာ်တဆမှု
ミャンマー語,1,14.0,服装,အဝတအ် စာ်း
ミャンマー語,1,15.0,安全装置,အန္ရတ ာယက် င်း် ရ င်း် သရ်းကရှိ ှိ ယာ
ミャンマー語,2,1.0,安全カバー,လခ ု ြုံ သရ်းကာဗာအဖ ု်း
ミャンマー語,2,2.0,けが,ဒဏရ် ာ
ミャンマー語,2,3.0,けがをする,ဒဏရ် ာရသည်
ミャンマー語,2,4.0,電源,လျှပ်စစ်ပါဝါ
ミャンマー語,2,5.0,電源を切る,လျှပ်စစ်ပါဝါပှိတသ် ည်
ミャンマー語,2,6.0,非常停止ボタン,အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့ လတု ်
ミャンマー語,2,7.0,非常停止ボタンを押す,အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့ လတု က် ှို န္ပှိ ်သည်
ミャンマー語,2,8.0,ルール,စည်း် ကမ််း
ミャンマー語,2,9.0,ルールを守る,စည်း် ကမ််းလကှို န် ာသည်
ミャンマー語,2,10.0,止める,ရပ်သည်
ミャンマー語,2,11.0,機械を止める,စကက် ှို ရပ်သည်
ミャンマー語,2,12.0,やって,လပု ်ပါ
ミャンマー語,2,13.0,止めて,ရပ်ပါ
ミャンマー語,2,14.0,取って,ယပူ ါ
ミャンマー語,2,15.0,だめ（な）,မလပု ်သင်(ဲ့ သသာ)
ミャンマー語,3,1.0,監理団体,စ မ ကပွ ်ကသ ရ်းအဖ ွွဲ့
ミャンマー語,3,2.0,技術移転,နည်း် ပညာလသ ခပာင်း် ခ င်း်
ミャンマー語,3,3.0,技能実習期間,အလပု ်သငတ် န်း် ကာလ
ミャンマー語,3,4.0,職種,အလပု ်အကငှို အ် မ ှိြုံ်းအစာ်း
ミャンマー語,3,5.0,在留資格,ဗ ဇာအမ ှိြုံ်းအစာ်း
ミャンマー語,3,6.0,パスポート,န္ငှို င် က ်းူ လကမ် တ်
ミャンマー語,3,7.0,在留カード,န္ငှို င် ခ ာ်းသာ်းမ တပ် ုတငက် တ်
ミャンマー語,3,8.0,入管,လဝက
ミャンマー語,3,9.0,在留期間,ဗ ဇာသကတ် မ််း
ミャンマー語,4,10.0,雇用契約,အလပု ် နထ် ဲ့ ာ်းသရ်းသသေ းာတစူ ာ ြုံပ်
ミャンマー語,4,11.0,給与明細,လစာရ င်း် တမ််းစာရွက်
ミャンマー語,4,12.0,給料,လစာသငွ
ミャンマー語,4,13.0,残業手当,အ ှိနပ် ှိုသကက်း
ミャンマー語,4,14.0,労働時間,အလပု ် ှိန်
ミャンマー語,5,1.0,控除（する）,န္တှု ယ် ူ(သည်)
ミャンマー語,5,2.0,ボーナス,အပှိုဆသု ကက်း
ミャンマー語,5,3.0,有休,လပု ်သက ် ငွ ်ဲ့
ミャンマー語,5,4.0,代休,အစာ်းထ်းှို နာ်းရက်
ミャンマー語,5,5.0,労働基準法,အလပု ်သမာ်းစ န္နှု ်း် ဥပသဒ
ミャンマー語,5,6.0,労働条件,အလပု ်သမာ်း စ ာ်း ငွ ်ဲ့
ミャンマー語,5,7.0,税金,အ နွ ်
ミャンマー語,5,8.0,所得税,ဝငသ် င ွ နွ ်
ミャンマー語,6,9.0,住民税,စညပ် င ် နွ ်
ミャンマー語,6,10.0,厚生年金,အလပု ်ပငစ် ငအ် ာမ
ミャンマー語,6,11.0,雇用保険,အလပု ်အာမ
ミャンマー語,6,12.0,健康保険,က န်း် မာသရ်းအာမ
ミャンマー語,6,13.0,社会保険,လမူ ှုဖူလသ ု ရ်းအာမ
