アドレス,言語,単語,再翻訳,翻訳,一致,類似度_difflib,分類,類似度_ai,類似度_claude
B2,en,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
B3,en,技能実習,技能実習,Technical Intern Training,True,100.0%,完全一致,100%,100
B4,en,技能実習生,技能実習生,Technical Intern Trainee,True,100.0%,完全一致,100%,100
B5,en,工場,工場,Factory,True,100.0%,完全一致,100%,100
B6,en,製造,製造業,Manufacturing,False,80.0%,不一致,90%,90
B7,en,機械,機械,Machine,True,100.0%,完全一致,100%,100
B8,en,安全,安全性,Safety,False,80.0%,不一致,95%,95
B9,en,危険（な）,危険物,Hazardous / Dangerous,False,50.0%,不一致,30%,30
B10,en,危ない,危険な,Dangerous,False,66.7%,不一致,100%,100
B11,en,清掃,クリーニング,Cleaning,False,0.0%,不一致,100%,100
B12,en,非常口,非常口,Emergency Exit,True,100.0%,完全一致,100%,100
B13,en,注意,注意,Caution,True,100.0%,完全一致,100%,100
B14,en,火事,火,Fire,False,66.7%,不一致,45%,70
B15,en,事故,事故,Accident,True,100.0%,完全一致,100%,100
B16,en,服装,服装,Attire / Clothing,True,100.0%,完全一致,100%,100
B17,en,安全装置,安全装置,Safety Device,True,100.0%,完全一致,100%,100
B18,en,安全カバー,安全カバー/ガード,Safety Cover / Guard,False,71.4%,不一致,50%,95
B19,en,けが,けが,Injury,True,100.0%,完全一致,100%,100
B20,en,けがをする,怪我をする,Get injured,False,60.0%,不一致,100%,100
B21,en,電源,電源,Power supply,True,100.0%,完全一致,100%,100
B22,en,電源を切る,電源を切る,Turn off the power,True,100.0%,完全一致,100%,100
B23,en,非常停止ボタン,緊急停止ボタン,Emergency Stop Button,False,71.4%,不一致,76%,100
B24,en,非常停止ボタンを押す,緊急停止ボタンを押してください,Press the emergency stop button,False,56.0%,不一致,38%,95
B25,en,ルール,ルール,Rule(s),True,100.0%,完全一致,100%,100
B26,en,ルールを守る,ルールに従う,Follow the rules,False,50.0%,不一致,25%,100
B27,en,止める,停止,Stop,False,40.0%,不一致,25%,100
B28,en,機械を止める,機械を停止する,Stop the machine,False,76.9%,不一致,78%,100
B29,en,やって,やってみよう,Do it / Go ahead,False,66.7%,不一致,45%,70
B30,en,止めて,やめて,Stop it,False,66.7%,不一致,50%,90
B31,en,取って,取ってこい / 持ってくる / 取る,Fetch / Bring / Take,False,28.6%,不一致,15%,75
B32,en,だめ（な）,許可されていません,Not allowed / No good,False,0.0%,不一致,0%,100
B33,en,監理団体,監督組織,Supervising Organization,False,25.0%,不一致,14%,80
B34,en,技術移転,技術移転,Technology Transfer,True,100.0%,完全一致,100%,100
B35,en,技能実習期間,技能実習期間,Technical Intern Training Period,True,100.0%,完全一致,100%,100
B36,en,職種,職種/職業,Job Category / Occupation,False,57.1%,不一致,36%,100
B37,en,在留資格,在留資格,Status of Residence,True,100.0%,完全一致,100%,100
B38,en,パスポート,パスポート,Passport,True,100.0%,完全一致,100%,100
B39,en,在留カード,在留カード,Residence Card,True,100.0%,完全一致,100%,100
B40,en,入管,移民（サービス）,Immigration (Services),False,0.0%,不一致,0%,100
B41,en,在留期間,滞在期間,Period of Stay,False,75.0%,不一致,78%,100
