言語,Excel行,番号,単語,翻訳
英語,3,1,技能実習,Technical intern training
英語,4,2,技能実習生,Technical intern trainee
英語,5,3,工場,Factory; plant
英語,6,4,製造,Manufacturing
英語,7,5,機械,Machine; machinery
英語,8,6,安全,Safety
英語,9,7,危険（な）,Danger (dangerous)
英語,10,8,危ない,Dangerous
英語,11,9,清掃,Seisou (Shine)
英語,12,10,非常口,Emergency exit
英語,13,11,注意,Attention
英語,14,12,火事,Fire
英語,15,13,事故,Accident
英語,16,14,服装,Clothes
英語,17,15,安全装置,Safety equipment
英語,21,1,安全カバー,Safety cover; protection cover
英語,22,2,けが,Injury
英語,23,3,けがをする,To get injured
英語,24,4,電源,Power supply
英語,25,5,電源を切る,To turn off power
英語,26,6,非常停止ボタン,Emergency stop button
英語,27,7,非常停止ボタンを押す,To push an emergency stop button
英語,28,8,ルール,Rule
英語,29,9,ルールを守る,To comply with rules
英語,30,10,止める,To stop
英語,31,11,機械を止める,To stop a machine
英語,32,12,やって,Do (something).
英語,33,13,止めて,Stop (something).
英語,34,14,取って,Take; pick up; pass (something).
英語,35,15,だめ（な）,No. ; No good (bad; wrong)
英語,39,1,監理団体,Supervising organization
英語,40,2,技術移転,Technology transfer
英語,41,3,技能実習期間,Technical intern training period
英語,42,4,職種,Job type
英語,43,5,在留資格,Status of residence
英語,44,6,パスポート,Passport
英語,45,7,在留カード,Residence card
英語,46,8,入管,Immigration
英語,47,9,在留期間,Period of stay
英語,48,10,雇用契約,Employment contract
英語,49,11,給与明細,Pay slip
英語,50,12,給料,Salary
英語,51,13,残業手当,Overtime allowance
英語,52,14,労働時間,Working hours
英語,54,1,控除（する）,Deduction (to deduct)
英語,55,2,ボーナス,Bonus
英語,56,3,有休,Paid holiday
英語,57,4,代休,Compensatory day off
英語,58,5,労働基準法,Labor Standards Act
英語,59,6,労働条件,Working conditions
英語,60,7,税金,Tax
英語,61,8,所得税,Income tax
英語,62,9,住民税,Resident tax
英語,63,10,厚生年金,Welfare pension
英語,64,11,雇用保険,Employment insurance
英語,65,12,健康保険,Health insurance
英語,67,13,社会保険,Social insurance
英語,68,14,労災,Industrial accident
英語,69,15,労災保険,Industrial accident compensation insurance
英語,71,1,遅刻（する）,Late arrival (be late)
英語,72,2,早退（する）,Leaving early (to leave early)
英語,73,3,休憩（する）,Break (to take a break)
英語,74,4,残業（する）,Overtime work (to work overtime)
英語,75,5,定時,Regular hours
英語,76,6,規則,Regulation; rule
英語,77,7,休日,Non-working day
英語,78,8,始業時間,Starting time of work
英語,79,9,終業時間,Ending time of work
英語,80,10,指導員,Instructor
英語,81,11,生活指導員,Life advisor
英語,82,12,担当者,Person in charge
英語,83,13,スイッチ入れるな,Do not switch on.
英語,84,14,スイッチ切るな,Do not switch off.
英語,85,15,使用禁止,Do not use.
英語,87,1,5S,5S
英語,88,2,整理,Seiri (Sorting)
英語,89,3,整頓,Seiton (Set in order)
英語,90,4,清掃,Seisou (Shine)
英語,91,5,清潔,Seiketsu (standardize)
英語,92,6,しつけ,Shitsuke (Sustain)
英語,93,7,掃除（する）,Cleaning (to clean)
英語,95,8,片づける,To tidy up
英語,96,9,捨てる,To throw away
英語,97,10,汚い,Dirty
英語,98,11,汚れる,To get dirty
英語,99,12,分別（する）,To sort waste
英語,100,13,燃えないごみ,Nonburnable waste
英語,101,14,燃えるごみ,Burnable waste
英語,102,15,挟まれる,To get sandwiched in between
英語,103,16,巻き込まれる,To get caught in
英語,104,17,やけど（する）,Burn (to get burned)
英語,105,18,落ちる,To fall
英語,106,19,すべる,To slip
英語,108,20,転ぶ,To fall; stumble
英語,109,21,濡れる,To get wet
英語,110,22,衛生,Sanitation
英語,111,23,避難（する）,Evacuation (to evacuate)
英語,112,24,救急車,Ambulance
英語,113,25,災害,Disaster
英語,114,26,地震,Earthquake
英語,115,27,もぐる,To hide; dive
英語,117,1,火気厳禁,No fire
英語,118,2,開放厳禁,Keep closed.
英語,119,3,標識,Sign
英語,120,4,気をつける,To pay attention
英語,121,5,持ち込む,To bring in
英語,122,6,防ぐ,To prevent
英語,123,7,火,Fire
英語,124,8,煙,Smoke
英語,125,9,消火,Fire extinguishing
英語,126,10,消火器,Fire extinguisher
英語,127,11,非常ベル,Emergency alarm
英語,128,12,火災報知機,Fire alarm
英語,129,13,逃げる,To escape
英語,130,14,現場,Site; shop floor
英語,131,15,作業,Work
英語,132,16,ミーティング,Meeting
英語,133,17,研修（する）,Training (to train/be trained)
英語,135,18,実習（する）,Practical training (to give/receive practical training)
英語,136,19,あいさつ,Greeting
英語,137,20,確認（する）,Check (to check)
英語,138,21,報告（する）,Report (to report)
英語,139,22,連絡（する）,Communication (to communicate)
英語,140,23,相談（する）,Consultation (to consult)
英語,141,24,渡す,To hand over
英語,142,25,申請書,Application
英語,143,26,寝坊（する）,Oversleeping (to oversleep)
英語,147,1,技能,
英語,148,2,技能検定試験,
英語,149,3,受検（する）,
英語,150,4,資格,
英語,151,5,手当,
英語,152,6,社員,
英語,153,7,部長,
英語,154,8,課長,
英語,155,9,更衣室,
英語,156,10,台車,
英語,157,11,床,
英語,158,12,出口,
英語,159,13,電気,
英語,160,14,警報音,
英語,161,15,コンセント,
