ファイル名,ページ,番号,日本語,翻訳
インドネシア語_pdfplumber_抽出_最終版.csv,1,1.0,技能実習,Pelatihan Kerja Teknis
インドネシア語_pdfplumber_抽出_最終版.csv,1,2.0,技能実習生,Pemagang Kerja Teknis
インドネシア語_pdfplumber_抽出_最終版.csv,1,3.0,工場,Pabrik
インドネシア語_pdfplumber_抽出_最終版.csv,1,4.0,製造,Manufaktur
インドネシア語_pdfplumber_抽出_最終版.csv,1,5.0,機械,Mesin
インドネシア語_pdfplumber_抽出_最終版.csv,1,6.0,安全,Keselamatan
インドネシア語_pdfplumber_抽出_最終版.csv,1,7.0,危険（な）,Berbahaya (Bahaya)
インドネシア語_pdfplumber_抽出_最終版.csv,1,8.0,危ない,Bahaya
インドネシア語_pdfplumber_抽出_最終版.csv,1,9.0,清掃,Pembersihan
インドネシア語_pdfplumber_抽出_最終版.csv,7,4.0,清掃,Resik
インドネシア語_pdfplumber_抽出_最終版.csv,1,10.0,非常口,Pintu keluar darurat
インドネシア語_pdfplumber_抽出_最終版.csv,1,11.0,注意,Peringatan
インドネシア語_pdfplumber_抽出_最終版.csv,1,12.0,火事,Kebakaran
インドネシア語_pdfplumber_抽出_最終版.csv,1,13.0,事故,Kecelakaan
インドネシア語_pdfplumber_抽出_最終版.csv,1,14.0,服装,Pakaian
インドネシア語_pdfplumber_抽出_最終版.csv,1,15.0,安全装置,Peralatan keselamatan
インドネシア語_pdfplumber_抽出_最終版.csv,2,1.0,安全カバー,Tutup pengaman
インドネシア語_pdfplumber_抽出_最終版.csv,25,1.0,安全カバー,Tutup pengaman
インドネシア語_pdfplumber_抽出_最終版.csv,2,2.0,けが,Luka
インドネシア語_pdfplumber_抽出_最終版.csv,2,3.0,けがをする,Terluka
インドネシア語_pdfplumber_抽出_最終版.csv,2,4.0,電源,Sumber listrik
インドネシア語_pdfplumber_抽出_最終版.csv,2,5.0,電源を切る,Mematikan listrik
インドネシア語_pdfplumber_抽出_最終版.csv,2,6.0,非常停止ボタン,Tombol stop darurat
インドネシア語_pdfplumber_抽出_最終版.csv,2,7.0,非常停止ボタンを押す,Menekan tombol stop darurat
インドネシア語_pdfplumber_抽出_最終版.csv,2,8.0,ルール,Peraturan
インドネシア語_pdfplumber_抽出_最終版.csv,2,9.0,ルールを守る,Mematuhi peraturan
インドネシア語_pdfplumber_抽出_最終版.csv,2,10.0,止める,Menghentikan
インドネシア語_pdfplumber_抽出_最終版.csv,2,11.0,機械を止める,Menghentikan mesin
インドネシア語_pdfplumber_抽出_最終版.csv,2,12.0,やって,Lakukan
インドネシア語_pdfplumber_抽出_最終版.csv,2,13.0,止めて,Hentikan
インドネシア語_pdfplumber_抽出_最終版.csv,2,14.0,取って,Ambil
インドネシア語_pdfplumber_抽出_最終版.csv,2,15.0,だめ（な）,Tidak boleh (Jangan)
インドネシア語_pdfplumber_抽出_最終版.csv,3,1.0,監理団体,Lembaga pengawas
