,単語,再翻訳,類似度_claude,スコア
500,一輪車,手押し車,100%,100
501,支柱,投稿 / サポート,90%,90
502,ショベル,シャベル,100%,100
503,翻訳サイネージ,Multilingual translation system,80%,80
504,技能実習,技能訓練,100%,100
505,技能実習生,スキルインターンシップ,100%,100
506,危険（な）,危険な,100%,100
507,服装,服,95%,95
508,安全カバー,安全カバー,100%,100
509,けがをする,負傷,100%,100
510,ルールを守る,ルールを守る,100%,100
511,機械を止める,エンジンを停止する,95%,95
512,やって,する,95%,95
513,取って,取る,100%,100
514,だめ（な）,すべきではない,85%,85
515,技能実習期間,スキルインターンシップ期間,100%,100
516,職種,仕事の種類,100%,100
517,在留資格,居住許可のステータス,95%,95
518,在留カード,居住許可カード,100%,100
519,入管,移民,90%,90
520,給料,賃金,100%,100
521,控除（する）,切断,20%,20
522,代休,代替休暇,100%,100
523,税金,税,100%,100
524,住民税,人口税,50%,50
525,厚生年金,厚生年金（厚生年金）,100%,100
526,労災保険,労働災害保険,100%,100
527,遅刻（する）,遅い,85%,85
528,早退（する）,早く帰ってきて,85%,85
529,休憩（する）,休む,100%,100
530,残業（する）,時間とともに,40%,40
531,定時,通常の勤務時間,100%,100
532,規則,規制,100%,100
533,始業時間,仕事開始時間,100%,100
534,終業時間,勤務時間終了,100%,100
535,指導員,インストラクター,100%,100
536,生活指導員,ライフコーチ,100%,100
537,担当者,責任者,100%,100
538,スイッチ切るな,スイッチを切らないでください,100%,100
539,使用禁止,使用禁止,100%,100
540,5S,5S,100%,100
541,整理,整理（せいり）,100%,100
542,整頓,アレンジメント（整頓）,100%,100
543,清掃,清掃（せいそう）,100%,100
544,清潔,清潔（せいけつ）,100%,100
545,しつけ,躾（しつけ）,100%,100
546,掃除（する）,クリーン,100%,100
547,分別（する）,分別（ゴミ）,100%,100
548,燃えないごみ,ゴミは燃えない,95%,95
549,燃えるごみ,可燃性廃棄物,100%,100
550,挟まれる,立ち往生,100%,100
551,巻き込まれる,興味がある / 絡み合う,70%,70
552,やけど（する）,バーンズ/バーンズ,100%,100
553,すべる,滑った,100%,100
554,転ぶ,落下,90%,90
555,濡れる,濡れた,100%,100
556,もぐる,下に隠れる,100%,100
557,開放厳禁,開封禁止,100%,100
558,標識,標識・マーク,100%,100
559,火,火,100%,100
560,消火,消火,100%,100
561,消火器,消火器（APAR）,100%,100
562,非常ベル,緊急ベル,100%,100
563,逃げる,自分を救う,90%,90
564,現場,勤務地,100%,100
565,作業,仕事,100%,100
566,研修（する）,トレーニング,100%,100
567,実習（する）,練習する,100%,100
568,あいさつ,よろしく,100%,100
569,確認（する）,確認・確認,100%,100
570,連絡（する）,接触,95%,95
571,渡す,届ける,100%,100
572,寝坊（する）,遅く起きる,100%,100
573,技能検定試験,スキル認定試験,100%,100
574,部長,部門マネージャー,100%,100
575,更衣室,更衣室,100%,100
576,台車,カート,100%,100
577,電気,電気,100%,100
578,コンセント,電気ソケット,100%,100
579,作業台,ワークベンチ,100%,100
580,作業責任者,作業担当者,100%,100
581,禁止,禁断,100%,100
582,表示板,看板,100%,100
583,禁止事項,禁止されているもの,100%,100
584,感電（する）,感電した,100%,100
585,防止（する）,防止,100%,100
586,予防（する）,防止,100%,100
587,転倒（する）,つまずく/転倒,100%,100
588,挟まる,立ち往生,100%,100
589,足元,踏み場,100%,100
590,後片付け,最終的な整理,100%,100
591,救   箱,救急箱,95%,95
592,絆創膏,石膏,100%,100
593,嘔吐（する）,吐瀉物,100%,100
594,安全点検,安全確認,100%,100
595,KY活動（危険予知活動）,KY（危険予知）活動,100%,100
596,ぶつかる,衝突/衝突,100%,100
597,当たる,影響を受ける/懸念される,70%,70
598,下敷きになる,ヒット,60%,60
599,打つ,打つ,100%,100
600,バランスを崩す,バランスの喪失,100%,100
601,倒れる,折りたたまれた/折りたたまれた,100%,100
602,原因,理由,100%,100
603,落下（する）,秋,100%,100
604,墜落（する）,落下（高所からの落下）,100%,100
605,確認（する）,確認する,100%,100
606,作業靴,作業靴,100%,100
607,帽子,帽子,100%,100
608,保護メガネ,保護メガネ,100%,100
609,マスク,フェイスマスク,100%,100
610,栓,プラグ/カバー,100%,100
611,墜落制止用器具（安全帯）,墜落制止用器具（安全ハーネス）,100%,100
612,業務,タスク/ジョブ,100%,100
613,時間厳守,時間通りに,100%,100
614,準備（する）,準備 / 準備中,100%,100
615,会議,ミーティング,100%,100
616,朝礼,朝の点呼 / 朝のブリーフィング,100%,100
617,作業手順書,標準操作手順（SOP）,100%,100
618,調子,状態 / パフォーマンス,100%,100
619,足もと注意,足元に注意してください,100%,100
620,開口部注意,開口部/穴に注意,100%,100
621,感電注意,感電に注意してください,100%,100
622,堕落注意,高所からの落下に注意してください,100%,100
623,頭上注意,落下物にご注意ください（上）,100%,100
624,警報設備,警報装置,100%,100
625,保護帽着用,安全ヘルメットの着用は義務付けられています,100%,100
626,昇降階段,階段の上り下り,100%,100
627,整理整頓,整頓と整理,100%,100
628,安全通路,安全ライン,100%,100
629,ランマ,ハンドコンパクター（ランマー）,100%,100
630,キャッチクランプ,フッククランプ,100%,100
631,直交クランプ,角度/垂直クランプ,100%,100
632,滑車,滑車,100%,100
633,介しゃくロープ,キャッチフレーズ,100%,100
634,脚柱ジョイント,ポール接続,100%,100
635,ジョイント金具,接続継手,100%,100
636,レバーブロック,レバーブロック（レバーハンドル）,100%,100
637,電動のこ（丸のこ）,電動丸鋸,100%,100
638,モンキースパナ,レンチ,100%,100
639,親綱支柱,ライフラインポール,100%,100
640,建枠（ビティ）,足場フレーム,100%,100
641,メッシュシート,防護ネット（メッシュシート）,100%,100
642,朝顔材,アサガオ（保護用の天蓋）,100%,100
643,架空線,架空ケーブル,100%,100
644,幅木（仮設足場）,足場の縁板（つま先板）,100%,100
645,単管,足場管（単管）,100%,100
646,脚立,折りたたみはしご,100%,100
647,手直し,手直し/軽微な修理,100%,100
648,面一,フラッシュサーフェス,100%,100
649,積載荷重,負荷負荷,100%,100
650,通りを見る,真直度の確認,100%,100
651,地組,地上組み立て,100%,100
652,天端,トップレベル,100%,100
653,玉掛け,荷役,100%,100
654,定格荷重,公称容量,100%,100
655,たち,垂直/真直度,100%,100
656,インサート,挿入/アンカー,100%,100
657,電工ドラム（ドラム）,電気ケーブルリール,100%,100
658,電動丸のこ（電のこ）,電動丸鋸,100%,100
659,パッキン,ガスケット,100%,100
660,小バール,ジェミー,100%,100
661,大バール,大きなバール,100%,100
662,スタイロフォーム,発泡スチロール（XPS/EPS）,100%,100
663,面木,面取り刃,100%,100
664,けこみ板,ライザーボード（階段）,100%,100
665,目地棒,ジョイントロッド,100%,100
666,コンベックス,ロールメーター,100%,100
667,差金,大工の定規,100%,100
668,水平器,ウォーターパス,100%,100
669,墨さし,インクマーカーツール,100%,100
670,墨つぼ,チョークラインツール,100%,100
671,"丸セパレーター
（丸セパ）",丸型セパレーター,100%,100
672,天端釘,水平調整釘,100%,100
673,ケレン,削り取り/清掃（クール）,100%,100
674,釘仕舞い,釘付けの暖炉,90%,90
675,スラブ天端,スラブの最上層,100%,100
676,建込み,インストール,100%,100
677,通り,線/直線性,100%,100
678,蹴込み,トレッド面積,95%,95
679,下げ振り,振り子（下げ振り）,100%,100
680,地墨,土地基準線,100%,100
681,捨てコンクリート,コンクリート作業床,100%,100
682,はね出し,カンチレバー,100%,100
683,前面,正面,100%,100
684,割付,部門・レイアウト,100%,100
685,埋め込み金物,アンカー/埋め込み鉄,100%,100
686,解体する（バラス）,開梱,85%,85
687,結束工具,製本ツール,100%,100
688,鉄筋曲げ加工機,鉄筋ベンダー,100%,100
689,加工場,製作ワークショップ,100%,100
690,配筋詳細図,補強の詳細画像,95%,95
691,開口補強筋,開口部補強補強,90%,90
692,幅止め筋,幅広の区切り線,85%,85
693,柱主筋,主柱補強,100%,100
694,スラブ筋,プレート補強（スラブ）,100%,100
695,帯筋（フープ）,フープ,100%,100
696,下端筋,下部補強,100%,100
697,上端筋,上部補強,100%,100
698,主筋,主な補強,100%,100
699,はかま筋,臀部の補強,70%,70
