ファイル名,ページ,番号,日本語,翻訳
タガログ語_pdfplumber_抽出_最終版.csv,1,1.0,技能実習,Technical Intern Training
タガログ語_pdfplumber_抽出_最終版.csv,1,2.0,技能実習生,Technical Intern Trainee
タガログ語_pdfplumber_抽出_最終版.csv,1,3.0,工場,Pabrika
タガログ語_pdfplumber_抽出_最終版.csv,1,4.0,製造,Produksiyon
タガログ語_pdfplumber_抽出_最終版.csv,1,5.0,機械,Makina
タガログ語_pdfplumber_抽出_最終版.csv,1,6.0,安全,Kaligtasan
タガログ語_pdfplumber_抽出_最終版.csv,1,7.0,危険（な）,Delikado (Mapanganib)
タガログ語_pdfplumber_抽出_最終版.csv,1,8.0,危ない,Delikado
タガログ語_pdfplumber_抽出_最終版.csv,1,9.0,清掃,Simutin / Paglilinis
タガログ語_pdfplumber_抽出_最終版.csv,7,4.0,清掃,Simutin
タガログ語_pdfplumber_抽出_最終版.csv,1,10.0,非常口,Emerhensyang labasan/Emergency exit
タガログ語_pdfplumber_抽出_最終版.csv,1,11.0,注意,Babala/Paunawa
タガログ語_pdfplumber_抽出_最終版.csv,1,12.0,火事,Sunog
タガログ語_pdfplumber_抽出_最終版.csv,1,13.0,事故,Akisidente
タガログ語_pdfplumber_抽出_最終版.csv,1,14.0,服装,Kasuotan
タガログ語_pdfplumber_抽出_最終版.csv,1,15.0,安全装置,Safety equipment/Kagamitan pangkaligtasan
タガログ語_pdfplumber_抽出_最終版.csv,2,1.0,安全カバー,Safety cover/Takip pang- kaligtasan
タガログ語_pdfplumber_抽出_最終版.csv,25,1.0,安全カバー,safety cover
タガログ語_pdfplumber_抽出_最終版.csv,2,2.0,けが,Pinsala
タガログ語_pdfplumber_抽出_最終版.csv,2,3.0,けがをする,Mapinsala
タガログ語_pdfplumber_抽出_最終版.csv,2,4.0,電源,Supply ng kuryente
タガログ語_pdfplumber_抽出_最終版.csv,2,5.0,電源を切る,Putulin ang supply ng kuryente
タガログ語_pdfplumber_抽出_最終版.csv,2,6.0,非常停止ボタン,Emergency stop button
タガログ語_pdfplumber_抽出_最終版.csv,2,7.0,非常停止ボタンを押す,Pindutin ang emergency stop button
タガログ語_pdfplumber_抽出_最終版.csv,2,8.0,ルール,Patakaran
タガログ語_pdfplumber_抽出_最終版.csv,2,9.0,ルールを守る,Sumunod sa mga patakaran
タガログ語_pdfplumber_抽出_最終版.csv,2,10.0,止める,I-off
タガログ語_pdfplumber_抽出_最終版.csv,2,11.0,機械を止める,I-off ang makina
タガログ語_pdfplumber_抽出_最終版.csv,2,12.0,やって,Gawin mo
タガログ語_pdfplumber_抽出_最終版.csv,2,13.0,止めて,I-off mo
タガログ語_pdfplumber_抽出_最終版.csv,2,14.0,取って,Kunin mo
タガログ語_pdfplumber_抽出_最終版.csv,2,15.0,だめ（な）,Bawal (Ipinagbabawal )
タガログ語_pdfplumber_抽出_最終版.csv,3,1.0,監理団体,Namamahalang organisasyon
タガログ語_pdfplumber_抽出_最終版.csv,3,2.0,技術移転,Paglilipat ng kakayahan
タガログ語_pdfplumber_抽出_最終版.csv,3,3.0,技能実習期間,Panahon ng pagsasanay
タガログ語_pdfplumber_抽出_最終版.csv,3,4.0,職種,Uri ng trabaho
タガログ語_pdfplumber_抽出_最終版.csv,3,5.0,在留資格,Status ng paninirahan
タガログ語_pdfplumber_抽出_最終版.csv,3,6.0,パスポート,Pasaporte
タガログ語_pdfplumber_抽出_最終版.csv,3,7.0,在留カード,Residence card
タガログ語_pdfplumber_抽出_最終版.csv,3,8.0,入管,Immigration Bureau
タガログ語_pdfplumber_抽出_最終版.csv,3,9.0,在留期間,Panahon ng paninirahan
タガログ語_pdfplumber_抽出_最終版.csv,3,10.0,雇用契約,Kontrata sa trabaho
タガログ語_pdfplumber_抽出_最終版.csv,3,11.0,給与明細,Detalyadong paglalahad ng suweldo/Payment slip
タガログ語_pdfplumber_抽出_最終版.csv,3,12.0,給料,Suweldo
タガログ語_pdfplumber_抽出_最終版.csv,3,13.0,残業手当,Overtime work pay
タガログ語_pdfplumber_抽出_最終版.csv,3,14.0,労働時間,Oras ng trabaho
タガログ語_pdfplumber_抽出_最終版.csv,4,1.0,控除（する）,Bawas / Exemption (Babawasan)
タガログ語_pdfplumber_抽出_最終版.csv,4,2.0,ボーナス,Bonus
タガログ語_pdfplumber_抽出_最終版.csv,4,3.0,有休,Bakasyon na may bayad
タガログ語_pdfplumber_抽出_最終版.csv,4,4.0,代休,Compensatory leave
タガログ語_pdfplumber_抽出_最終版.csv,4,5.0,労働基準法,The Labour Standards Act
タガログ語_pdfplumber_抽出_最終版.csv,4,6.0,労働条件,Kondisyon sa trabaho
タガログ語_pdfplumber_抽出_最終版.csv,4,7.0,税金,Buwis
タガログ語_pdfplumber_抽出_最終版.csv,4,8.0,所得税,Buwis sa kita
タガログ語_pdfplumber_抽出_最終版.csv,4,9.0,住民税,Buwis sa paninirahan
タガログ語_pdfplumber_抽出_最終版.csv,4,10.0,厚生年金,Employees’ pension insurance
タガログ語_pdfplumber_抽出_最終版.csv,4,11.0,雇用保険,Employment insurance
タガログ語_pdfplumber_抽出_最終版.csv,5,12.0,健康保険,Health insurance
タガログ語_pdfplumber_抽出_最終版.csv,5,13.0,社会保険,Labour insurance
タガログ語_pdfplumber_抽出_最終版.csv,5,14.0,労災,Worker’s accident
タガログ語_pdfplumber_抽出_最終版.csv,5,15.0,労災保険,Worker’s accident compensation insurance
タガログ語_pdfplumber_抽出_最終版.csv,6,1.0,遅刻（する）,Huli (Mahuhuli)
タガログ語_pdfplumber_抽出_最終版.csv,6,2.0,早退（する）,Umalis ng maaga (Aalis ng maaga)
タガログ語_pdfplumber_抽出_最終版.csv,6,3.0,休憩（する）,Pahinga (Magpapahinga)
タガログ語_pdfplumber_抽出_最終版.csv,6,4.0,残業（する）,Overtime (Magtrabaho na lampas sa takdang oras / Magtrabaho ng overtime)
タガログ語_pdfplumber_抽出_最終版.csv,6,5.0,定時,Regular na oras / Takdang oras
タガログ語_pdfplumber_抽出_最終版.csv,6,6.0,規則,Patakaran
タガログ語_pdfplumber_抽出_最終版.csv,6,7.0,休日,Day-off
タガログ語_pdfplumber_抽出_最終版.csv,6,8.0,始業時間,Oras ng simula
