番号,日本語,CSV存在,CSV行番号,空欄言語数,空欄の言語
1,けれん,あり,317,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
2,ケレン,あり,524,1,ベトナム語
3,不安定,あり,162,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
4,不安定な,あり,163,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
5,不安定（な）,あり,518,1,ベトナム語
6,丸セパレーター （丸セパ）,あり,523,1,ベトナム語
7,丸セパレーター（丸セパ）,あり,315,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
8,予防,あり,156,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
9,予防する,あり,157,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
10,予防（する）,あり,516,1,ベトナム語
11,健康保険,あり,57,2,タイ語、カンボジア語
12,嘔吐,あり,171,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
13,嘔吐する,あり,172,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
14,嘔吐（する）,あり,519,1,ベトナム語
15,基礎型枠 （メタルフォーム）,あり,525,1,ベトナム語
16,基礎型枠（メタルフォー ム）,あり,319,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
17,墜落,あり,194,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
18,墜落する,あり,195,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
19,墜落（する）,あり,522,1,ベトナム語
20,感電,あり,152,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
21,感電する,あり,153,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
22,感電（する）,あり,514,1,ベトナム語
23,準備,あり,217,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
24,確認,あり,196,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
25,確認する,あり,197,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
26,落下,あり,192,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
27,落下する,あり,193,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
28,落下（する）,あり,521,1,ベトナム語
29,転倒,あり,158,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
30,転倒する,あり,159,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
31,転倒（する）,あり,517,1,ベトナム語
32,転落,あり,186,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
33,転落する,あり,187,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
34,転落（する）,あり,520,1,ベトナム語
35,防止,あり,154,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
36,防止する,あり,155,7,英語、タガログ語、中国語、タイ語、ミャンマー語、インドネシア語、カンボジア語
37,防止（する）,あり,515,1,ベトナム語
