日本語,PyMuPDF値,pdfplumber値,一致,Page,No
5S,ស ៥,ស ៥,True,7,1
AED設置場所,ទីតងំ បំពកា A់ ED,ទីតងំ បំពាកA់ ED,False,18,12
KY活動（危険予知活動）,សកមមភ្ ពា KY (សកមមភ្ ពា ពាករណ៏ហា នីភយ)័,សកម្មភាពKY (សកម្មភាពពាករណ៏ហា នីភយ)័,False,14,1
あいさつ,ររវកិច,ររវកិចច,False,11,19
あごひも,សស្ ែរកវ៉ាត់ចងា រា,ស្សែរកវ៉ាត់ចងាា រ,False,15,8
あばら筋,េរសេដែកលកាណ:នអឹរជំនឺ,េរសេដែកលកាណ:នអឹរជំនឺ,True,33,25
かけや,ញញ̳ រេឈ̶,ញញ(cid:819)រេឈ(cid:822),False,19,3
かぶり厚さ,កមលសា ់នគ្ ប,កមាល ស់ន្គប,False,34,10
かぶり寸法,ករមេ់រ្ប,ករមេ់រ្ប,True,30,25
けが,របួស,របួស,True,2,2
けがをする,មនា របួស,មានរបួស,False,2,3
けこみ板,កា បា ញឈ្ រ,កាា បញ្ឈរ,False,26,17
しつけ,វៃិ ័យ,វៃិ ័យ,True,7,6
しゃがむ,អងគុ្យ(ដចងា ្ដោង្),អង្គ ុយ(ដចាង្ដោង្),False,42,18
すきま,ចមន្ លោា ះ,ចម្នាល ោះ,False,44,14
すき間,ចមនលះ្ទ,ចមន្ទល ះ,False,23,16
すべる,រអិល,រអិល,True,8,19
たち,បញឈ្ រ,បញ្ឈរ,False,24,24
だめ（な）,(ដែល)រិនបនា,(ដែល)រិនបាន,False,2,15
はかま筋,សរសសដែកលកខណ:កន្រ តក,សរសសដែកលកខណ:កន្រ្តក,False,34,1
はね出し,ករា សចញកា ពា បី សគោ ល,ការសចញកាា ពបី សគោ ល,False,29,17
はらみ,ភព្ជសប៉ា ងច៉ុោះ,ភ្ជពសប៉ា ងច៉ុោះ,False,29,18
ぶつかる,ប ោទះ ងគិច្,ប ោះទង្គិច,False,14,3
もぐる,មុ្,មុ្,True,9,27
やけど（する）,(មៃា )រលកា ្,(មាៃ)រលាក្,False,8,17
やって,ស៊ូរព្វើ,ស៊ូរព្វើ,True,2,12
ゆるめる,បនធរូ,បនធ រូ,False,43,11
アイドリング,បល្ឆេលះចលា,បល្ឆេះលចាល,False,41,14
アンカー,ដែកយុថា ា,ដែកយុថាា,False,31,8
アーム,ដែគលើក,ដែគលើក,True,38,12
インサート,បញចល្ូ,បញ្ច លូ,False,25,3
エンジン,ម៉ា សុីន,ម៉ា សុីន,True,38,18
エンジンオイル,គតប្រ ងម៉ា សុីន,គត្របងម៉ា សុីន,False,39,20
キャッチクランプ,ដងȠ ̮ំȴប់,ដង(cid:544)(cid:814)ំ(cid:564)ប់,False,19,6
キー（鍵）,គស្ក,គស្ក,True,38,16
クラッチ,អាំដា្ យ,អាំដ្ាយ,False,40,11
クレーン,ʤ៉សុីនសɼ ̱ច,(cid:676)៉សុីនស(cid:636) (cid:817)ច,False,20,12
クローラ,តច្រ វកា ់,ត្រចវាក់,False,38,15
ケレン,ករា េំសលៀង,ការេំសលៀង,False,28,3
コンクリート,សបតុ្ង,សបត្ុង,False,26,19
コンセント,បព្ ីធ្ាើង,ប្ពីធ្ាើង,False,12,15
コンベックス,ឧបករណ៏វសា ់ ផវ្ ង,ឧបករណ៏វាស់ ផ្វង,False,26,20
ショベル,តប ល,តប ល,True,47,3
シングル,ឯក,ឯក,True,35,12
ジョイント金具,ែដកតំណ,ែដកតំណ,True,20,19
スイッチを切る,បិទកុងតកា ់,បិទកុងតាក់,False,43,9
スイッチ入れるな,កុំធបើកេរនតអគ្ គិ្សនី,កុំធបើកេរនតអ្គ្គិសនី,False,6,13
スイッチ切るな,កុំបិ េរនតអគ្ គិ្នសី,កុំបិ េរនតអ្គ្គិនសី,False,6,14
スタイロフォーム,បនទោះសនា,បនទោះសនា,True,26,13
ストレートシャックル,តួʤ៉សុីនˏʺ នʲងʰតង់,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់,False,19,10
