言語,Page,No,日本語,翻訳
カンボジア語,1,1,技能実習,ករា ហវឹ្កហវឺ្នជំនញា
カンボジア語,1,2,技能実習生,"កមមស្ ិកាការហី វឹ្កហវឺ្ន
ជំនញា"
カンボジア語,1,3,工場,រោងចកក្
カンボジア語,1,4,製造,ករា ផលិត
カンボジア語,1,5,機械,ម៉ា ស ៊ីន
カンボジア語,1,6,安全,ស វតថិភពា
カンボジア語,1,7,危険（な）,(ដែល)រករ្ ោះថា ក្ន់
カンボジア語,1,8,危ない,រករ្ ោះថា ក្ន់
カンボジア語,1,9,清掃,សមា ត
カンボジア語,1,10,非常口,ផលវូ ោសនា
カンボジア語,1,11,注意,ករា ករ្ ងុ ករ្ យ័តា
カンボジア語,1,12,火事,អគាិ្ភ័យ
カンボジア語,1,13,事故,ឧរតិរហ្ត
カンボジア語,1,14,服装,សរមលៀ្ ករំពកា ់
カンボジア語,1,15,安全装置,ឧរករណ៍ស វតថិភពា
カンボジア語,2,1,安全カバー,គមរ្ បសុវតថិ្ភពា
カンボジア語,2,2,けが,របួស
カンボジア語,2,3,けがをする,មនា របួស
カンボジア語,2,4,電源,ចរនតអគគិសនី
カンボジア語,2,5,電源を切る,បិទចរនតអគគិសនី
カンボジア語,2,6,非常停止ボタン,"ប៊ូ តុង្ បញឈ្ ប់ពពល
អសា នន"
カンボジア語,2,7,非常停止ボタンを押す,"ចុចប៊ូ តុង្ បញឈ្ ប់ពពល
អសា នន"
カンボジア語,2,8,ルール,ចាប់
カンボジア語,2,9,ルールを守る,ពោរពចាប់
カンボジア語,2,10,止める,បញឈ្ ប់
カンボジア語,2,11,機械を止める,បញឈ្ ប់ម៉ា សា ុីន
カンボジア語,2,12,やって,ស៊ូរព្វើ
カンボジア語,2,13,止めて,ស៊ូរបញឈ្ ប់
カンボジア語,2,14,取って,ស៊ូរយក
カンボジア語,2,15,だめ（な）,(ដែល)រិនបនា
カンボジア語,3,1,監理団体,អងគភ្ ពា គរ្ ប់គរ្ ង្
カンボジア語,3,2,技術移転,ករា ណទេរបណចេកវទិ ា្យ
カンボジア語,3,3,技能実習期間,រយៈណពលហវឹ្កហវឺ្នជំនញ
カンボジア語,3,4,職種,គប្ ណេទ្យមុខរបរ
カンボジア語,3,5,在留資格,អជា ា ប្ញ័េណសា ក្ន់ណៅ
カンボジア語,3,6,パスポート,លិខិតឆលង្ ដ្ ែន
カンボジア語,3,7,在留カード,ប័េណសា ក្ន់ណៅ
カンボジア語,3,8,入管,អណនា គប្ ណវសន៍
カンボジア語,3,9,在留期間,រយៈណពលសា ក្ន់ណៅ
カンボジア語,3,10,雇用契約,កិចេសនាករា ងរា
カンボジア語,3,11,給与明細,"បងា នា ន់ ែណបើកគា្ ក់
ណបៀវតស"
カンボジア語,3,12,給料,គា្ ក់ណបៀវតស
カンボジア語,3,13,残業手当,គា្ ក់ឈនល្ួ ដែមណ ៉ោ ង្
カンボジア語,3,14,労働時間,ណ ៉ោ ងណ្ ្វើករា
カンボジア語,4,1,控除（する）,(ធ្វើករា )ករា កតា ់ថល្ ៃ
カンボジア語,4,2,ボーナス,បា្រ ក់រំណចា ់
カンボジア語,4,3,有休,"ករា សបម្រ កា មនា បា្រ ក់
ធរៀវតស"
カンボジア語,4,4,代休,ថល្ ៃឈរ់សបម្រ កា ធលើកថល្ ៃ
カンボジア語,4,5,労働基準法,ចារ់រទដា នា ករា ងរា
カンボジア語,4,6,労働条件,ល័កខែ័ណឌករា ងរា
カンボジア語,4,7,税金,ពនធ
カンボジア語,4,8,所得税,ពនធលើបា្រ ក់ចំណូ ល
カンボジア語,4,9,住民税,ពនធនិវសា នជន
カンボジア語,4,10,厚生年金,"បា្រ ក់ធស្ា ននិវតាន៍
ររស់និធោជិក"
カンボジア語,4,11,雇用保険,ធនា រា ៉ារា ់រងករា ងរា
カンボジア語,4,12,健康保険,ធនា រា ៉ារា ់រងស ែភពា
カンボジア語,5,13,社会保険,ធនា រា ៉ារា ់រងសងគម
カンボジア語,5,14,労災,ធបគ្រ ុ្មះថនក្ន់ករា ងរា
カンボジア語,5,15,労災保険,"ធនា រា ៉ារា ់រងធលើធបគ្រ ុ្មះ
ថនក្ន់ករា ងរា"
カンボジア語,6,1,遅刻（する）,(ធ្វើករា ) មកយឺត
カンボジア語,6,2,早退（する）,(ធ្វើករា ) ធេញមុនធេល
カンボジア語,6,3,休憩（する）,(ធ្វើករា ) សមា្រ ក
カンボジア語,6,4,残業（する）,(ធ្វើករា ) ករា ងរា ថែមធា៉ោ ង
カンボジア語,6,5,定時,ធេលធ ៀងទតា ់
カンボジア語,6,6,規則,ប បញា ្ជ
カンボジア語,6,7,休日,ថែ្ ៃឈប់សមា្រ ក
カンボジア語,6,8,始業時間,ធា៉ោ ងចបា ់ធ្តើមករា ងរា
カンボジア語,6,9,終業時間,ធា៉ោ ងបញចប្ ់ករា ងរា
カンボジア語,6,10,指導員,អនក្ បងា តា ប់ ធមង្រ ៀន
カンボジア語,6,11,生活指導員,"អនក្ បងា តា ប់ ធមង្រ ៀនេីករា
រស់ធៅ"
カンボジア語,6,12,担当者,អនក្ ួលខុសមត្រ េូ
カンボジア語,6,13,スイッチ入れるな,កុំធបើកេរនតអគ្ គិ្សនី
カンボジア語,6,14,スイッチ切るな,កុំបិ េរនតអគ្ គិ្នសី
カンボジア語,6,15,使用禁止,ហមា ធមប្រ ើមា្រ ស់
カンボジア語,7,1,5S,ស ៥
カンボジア語,7,2,整理,មៃា របបៀប
カンボジア語,7,3,整頓,បរៀបរយ
カンボジア語,7,4,清掃,សមា តា
カンボジア語,7,5,清潔,សា ត្ថ
カンボジア語,7,6,しつけ,វៃិ ័យ
カンボジア語,7,7,掃除（する）,(ប្វីករា )សមា តា
カンボジア語,8,8,片づける,បរៀបចាំ
カンボジア語,8,9,捨てる,បចល
カンボジア語,8,10,汚い,កខ្ វក្ ់្
カンボジア語,8,11,汚れる,្បលកា ់្
カンボジア語,8,12,分別（する）,(ប្វីករា )ដបងដចក្
カンボジア語,8,13,燃えないごみ,ស្មមា មិៃប ះ
カンボジア語,8,14,燃えるごみ,ស្មមា ប ះ
カンボジア語,8,15,挟まれる,គប្ន
カンボジア語,8,16,巻き込まれる,្តវូ ាៃពកា ់ព្ ័ៃធ
カンボジア語,8,17,やけど（する）,(មៃា )រលកា ្
カンボジア語,8,18,落ちる,្្ះរ
カンボジア語,8,19,すべる,រអិល
カンボジア語,9,20,転ぶ,ែួល
カンボジア語,9,21,濡れる,បសើម
カンボジア語,9,22,衛生,អនមា ័យ
カンボジア語,9,23,避難（する）,(ប្វីករា )្បមែៀស
カンボジア語,9,24,救急車,ឡៃា សប្ងគះា បនា ៃា ់
カンボジア語,9,25,災害,ប្គះ្នមហៃតោយ
カンボジア語,9,26,地震,ករា រញជ្យួ ែី
カンボジア語,9,27,もぐる,មុ្
カンボジア語,10,1,火気厳禁,ហមា ដចា ់ខតា ប្រើប្លើង
カンボジア語,10,2,開放厳禁,ហមា ដចា ់ខតា បរើកចំហ
カンボジア語,10,3,標識,សញា ្ញ
カンボジア語,10,4,気をつける,ខ្ ញំនឹង្រងុ ្រយ័តន
カンボジア語,10,5,持ち込む,យកចូល
カンボジア語,10,6,防ぐ,រងា រ្ក
カンボジア語,10,7,火,ប្លើង
カンボジア語,10,8,煙,ផស្ ែង
カンボジア語,10,9,消火,ព្នលត់អគគិ្ ័យ
カンボジア語,10,10,消火器,ឧរករណ៍ព្នលត់អគគិ្ ័យ
カンボジア語,10,11,非常ベル,កណតឹងអសា នន
カンボジア語,10,12,火災報知機,កណតឹង្រកសា អគគិ្ ័យ
カンボジア語,10,13,逃げる,រត់បគច្
カンボジア語,10,14,現場,កផន្ លងករា ងរ្ក
カンボジア語,10,15,作業,ករា ងរ្ក
カンボジア語,10,16,ミーティング,ករា ្រជុំ
カンボジア語,10,17,研修（する）,(ប្វើករា )កមសិកា
カンボジア語,11,18,実習（する）,(ប្វើករា )សិកា
カンボジア語,11,19,あいさつ,ររវកិច
カンボジア語,11,20,確認（する）,(ប្វើករា )រញា ក្ញ ់
カンボジア語,11,21,報告（する）,(ប្វើករា )ករា ោយករា ណ៍
カンボジア語,11,22,連絡（する）,(ប្វើករា )ទកា ់ទង
カンボジア語,11,23,相談（する）,(ប្វើករា )ពិ្ភកា ា
カンボジア語,11,24,渡す,ឆលង្ កតា ់
カンボジア語,11,25,申請書,ពកា ែបសនើសុំ
カンボジア語,11,26,寝坊（する）,(ប្វើករា )បគង្ ្ជលុ
カンボジア語,12,1,技能,ជំនញា
カンボジア語,12,2,技能検定試験,បរ្ ឡងសមតថិភ្ ពា ជំនញា
カンボジア語,12,3,受検（する）,(ធ្វើ)ករា បរ្ ឡង
カンボジア語,12,4,資格,សមតថភ្ ពា (ជំនញា )
カンボジア語,12,5,手当,បា្ ក់ឧរតថម្ ភ
カンボジア語,12,6,社員,រុគគល្ កិ បក្ មុ ហ ុន
カンボジア語,12,7,部長,បរ្ ធនា ផន្ ែក
カンボジア語,12,8,課長,បរ្ ធនា ការយិ លា យ័
カンボジア語,12,9,更衣室,រនទរផ់ ា ស្ល់សធមាៀករំពកា ់
カンボジア語,12,10,台車,រទះរុញឥវ៉ាន់
カンボジア語,12,11,床,កបា្ ល
カンボジア語,12,12,出口,បរ្ កធរញ
カンボジア語,12,13,電気,អគគីស្ នី
カンボジア語,12,14,警報音,សធមាងបរ្ កសា អសា នែ
カンボジア語,12,15,コンセント,បព្ ីធ្ាើង
カンボジア語,12,16,作業場,កផន្ ាងធ្វើករា
カンボジア語,12,17,作業台,តុធ្ ្វើករា
カンボジア語,12,18,工事現場,ករា ដា ន្ឋ សំណង់
カンボジア語,12,19,職長,អែកដឹកនំាបក្ មុ
カンボジア語,12,20,作業責任者,អែកទទួលខុសបត្ វ្ូ ករា ងរា
カンボジア語,13,1,禁止,ហមា
カンボジア語,13,2,表示板,ផទង្ាំ បងា ញ្ហព័ត៍មនា
カンボジア語,13,3,禁止事項,បប្ ករា ហមា ឃតា ់
カンボジア語,13,4,避難訓練,ហវកឹ្ ហតា ់ជមមលៀសមេញ
カンボジア語,13,5,感電（する）,(ករា )ឆក់អគគីស្ នី
カンボジア語,13,6,防止（する）,(ករា )ករា ពរា
カンボジア語,13,7,予防（する）,(ករា )បងា រ្ហ
カンボジア語,13,8,転倒（する）,(ករា )ដួល
カンボジア語,13,9,挟まる,គបា
カンボジア語,13,10,足元,មជើងមបក្ មា
カンボジア語,13,11,不安定（な）,(ដដល)អមសេរភពា
カンボジア語,13,12,後片付け,ករា មរៀបេាំមពលមបក្ យា
カンボジア語,13,13,救急箱,បប្ អប់សមបង្ គោ្ហបះ នទន្ទ់
