言語,Page,番号,単語,翻訳
カンボジア語,1,1,技能実習,ការហ្វឹកហ្វឺនជំនាញ
カンボジア語,1,2,技能実習生,កម្មសិកាការហ្ី វឹកហ្វឺន ជំនាញ
カンボジア語,1,3,工場,រោងចក្ក
カンボジア語,1,4,製造,ការផលិត
カンボジア語,1,5,機械,ម៉ា ស ៊ីន
カンボジア語,1,6,安全,ស វតថិភាព
カンボジア語,1,7,危険（な）,(ដែល)រក្រោះថ្នា ក់
カンボジア語,1,8,危ない,រក្រោះថ្នា ក់
カンボジア語,1,9,清掃,សមា ត
カンボジア語,1,10,非常口,ផល វូ ោសនា
カンボジア語,1,11,注意,ការក្រងុ ក្រយ័តា
カンボジア語,1,12,火事,អគ្ាិភ័យ
カンボジア語,1,13,事故,ឧរតិរហ្ត
カンボジア語,1,14,服装,សរម្លៀករំពាក់
カンボジア語,1,15,安全装置,ឧរករណ៍ស វតថិភាព
カンボジア語,2,1,安全カバー,គម្របសុវត្ថិភាព
カンボジア語,2,2,けが,របួស
カンボジア語,2,3,けがをする,មានរបួស
カンボジア語,2,4,電源,ចរនតអគគិសនី
カンボジア語,2,5,電源を切る,បិទចរនតអគគិសនី
カンボジア語,2,6,非常停止ボタン,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន
カンボジア語,2,7,非常停止ボタンを押す,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន
カンボジア語,2,8,ルール,ចាប់
カンボジア語,2,9,ルールを守る,ពោរពចាប់
カンボジア語,2,10,止める,បញ្ឈប់
カンボジア語,2,11,機械を止める,បញ្ឈប់មា៉ា សុីន
カンボジア語,2,12,やって,ស៊ូរព្វើ
カンボジア語,2,13,止めて,ស៊ូរបញ្ឈប់
カンボジア語,2,14,取って,ស៊ូរយក
カンボジア語,2,15,だめ（な）,(ដែល)រិនបាន
カンボジア語,3,1,監理団体,អង្គភាពគ្រប់គ្រង្
カンボジア語,3,2,技術移転,ការណទេរបណចេកវទ្យិ ា
カンボジア語,3,3,技能実習期間,រយៈណពលហ្វឹកហ្វឺនជំនញ
カンボジア語,3,4,職種,គ្បណេទ្យមុខរបរ
カンボジア語,3,5,在留資格,អាជ្ញា ប័េណ ស្នា ក់ណៅ
カンボジア語,3,6,パスポート,លិខិតឆ្លង្ដែន
カンボジア語,3,7,在留カード,ប័េណ ស្នា ក់ណៅ
カンボジア語,3,8,入管,អណនា គ្បណវសន៍
カンボジア語,3,9,在留期間,រយៈណពលស្នា ក់ណៅ
カンボジア語,3,10,雇用契約,កិចេសនាការងារ
カンボジア語,3,11,給与明細,បងាា នន់ ែណបើកគ្ាក់ ណបៀវតស
カンボジア語,3,12,給料,គ្ាក់ណបៀវតស
カンボジア語,3,13,残業手当,គ្ាក់ឈ្ន លួ ដែមណ ៉ោ ង្
カンボジア語,3,14,労働時間,ណ ៉ោ ង្ណ្វើការ
カンボジア語,4,1,控除（する）,(ធ្វើការ)ការកាត់ថ្លៃ
カンボジア語,4,2,ボーナス,ប្រាក់រំណាច់
カンボジア語,4,3,有休,ការសប្រមាកមានប្រាក់ ធរៀវតស
カンボジア語,4,4,代休,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ
カンボジア語,4,5,労働基準法,ចារ់រទដាា នការងារ
カンボジア語,4,6,労働条件,ល័កខែ័ណឌការងារ
カンボジア語,4,7,税金,ពនធ
カンボジア語,4,8,所得税,ពនធធលើប្រាក់ចំណូ ល
カンボジア語,4,9,住民税,ពនធនិវាសនជន
カンボジア語,4,10,厚生年金,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក
カンボジア語,4,11,雇用保険,ធានារា៉ារ់រងការងារ
カンボジア語,5,13,社会保険,ធានារា៉ារ់រងសងគម
カンボジア語,5,14,労災,ធប្រគ្មុះថ្នន ក់ការងារ
カンボジア語,5,15,労災保険,ធានារា៉ារ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ
カンボジア語,6,1,遅刻（する）,(ធ្វើការ) មកយឺត
カンボジア語,6,2,早退（する）,(ធ្វើការ) ធេញមុនធេល
カンボジア語,6,3,休憩（する）,(ធ្វើការ) សម្រាក
カンボジア語,6,4,残業（する）,(ធ្វើការ) ការងារថែមធា៉ោ ង
カンボジア語,6,5,定時,ធេលធ ៀងទាត់
カンボジア語,6,6,規則,ប បញ្ជា
カンボジア語,6,7,休日,ថ្ែៃឈប់សម្រាក
カンボジア語,6,8,始業時間,ធា៉ោ ងចាប់ធ្តើមការងារ
カンボジア語,6,9,終業時間,ធា៉ោ ងបញ្ចប់ការងារ
カンボジア語,6,10,指導員,អ្នកបងាា តប់ ធម្រងៀន
カンボジア語,6,11,生活指導員,អ្នកបងាា តប់ ធម្រងៀនេីការ រស់ធៅ
カンボジア語,6,12,担当者,អ្នក ួលខុសម្រតេូ
カンボジア語,6,13,スイッチ入れるな,កុំធបើកេរនតអ្គ្គិសនី
カンボジア語,6,14,スイッチ切るな,កុំបិ េរនតអ្គ្គិនសី
カンボジア語,6,15,使用禁止,ហាមធម្របើម្រាស់
カンボジア語,7,1,5S,ស ៥
カンボジア語,7,2,整理,មាៃរបបៀប
カンボジア語,7,3,整頓,បរៀបរយ
カンボジア語,7,4,清掃,សមាា ត
カンボジア語,7,5,清潔,ស្ថា ត
カンボジア語,7,6,しつけ,វៃិ ័យ
カンボジア語,7,7,掃除（する）,(ប្វីការ)សមាា ត
カンボジア語,8,8,片づける,បរៀបចាំ
カンボジア語,8,9,捨てる,បចល
カンボジア語,8,10,汚い,ក្ខ្វក្់
カンボジア語,8,11,汚れる,្បលាក្់
カンボジア語,8,12,分別（する）,(ប្វីការ)ដបងដចក្
カンボジア語,8,13,燃えないごみ,ស្មាមមិៃប ះ
カンボジア語,8,14,燃えるごみ,ស្មាមប ះ
カンボジア語,8,15,挟まれる,គ្នប
カンボジア語,8,16,巻き込まれる,្តវូ ាៃពាក្់ព័ៃធ
カンボジア語,8,17,やけど（する）,(មាៃ)រលាក្
カンボジア語,8,18,落ちる,្្ះរ
カンボジア語,8,19,すべる,រអិល
カンボジア語,9,20,転ぶ,ែួល
カンボジア語,9,21,濡れる,បសើម
カンボジア語,9,22,衛生,អនាម័យ
カンボジア語,9,23,避難（する）,(ប្វីការ)្បមែៀស
カンボジア語,9,24,救急車,ឡាៃសប្ងាគ ះបនាា ៃ់
カンボジア語,9,25,災害,ប្គ្នះមហៃតោយ
カンボジア語,9,26,地震,ការរញ្ជ យួ ែី
カンボジア語,9,27,もぐる,មុ្
カンボジア語,10,1,火気厳禁,ហាមដាច់ខាតប្រើប្លើង
カンボジア語,10,2,開放厳禁,ហាមដាច់ខាតបរើកចំហ
カンボジア語,10,3,標識,សញ្ញា
カンボジア語,10,4,気をつける,ខ្ ញំនឹង្រងុ ្រយ័តន
カンボジア語,10,5,持ち込む,យកចូល
カンボジア語,10,6,防ぐ,រង្កា រ
カンボジア語,10,7,火,ប្លើង
カンボジア語,10,8,煙,ផ្សែង
カンボジア語,10,9,消火,ព្នលត់អគ្គិ្័យ
カンボジア語,10,10,消火器,ឧរករណ៍ព្នលត់អគ្គិ្័យ
カンボジア語,10,11,非常ベル,កណតឹងអាសនន
カンボジア語,10,12,火災報知機,កណតឹង្រកាសអគ្គិ្័យ
カンボジア語,10,13,逃げる,រត់បគ្ច
カンボジア語,10,14,現場,កផ្នលងការង្ករ
カンボジア語,10,15,作業,ការង្ករ
カンボジア語,10,16,ミーティング,ការ្រជុំ
カンボジア語,10,17,研修（する）,(ប្វើការ)កមមសិកា
カンボジア語,11,18,実習（する）,(ប្វើការ)សិកា
カンボジア語,11,19,あいさつ,ររវកិចច
カンボジア語,11,20,確認（する）,(ប្វើការ)រញ្ញា ក់
カンボジア語,11,21,報告（する）,(ប្វើការ)ការោយការណ៍
カンボジア語,11,22,連絡（する）,(ប្វើការ)ទាក់ទង
カンボジア語,11,23,相談（する）,(ប្វើការ)ព្ិភាកា
カンボジア語,11,24,渡す,ឆ្លងកាត់
カンボジア語,11,25,申請書,ពាកែបសនើសុំ
カンボジア語,11,26,寝坊（する）,(ប្វើការ)បគ្ង្ជលុ
カンボジア語,12,1,技能,ជំនាញ
カンボジア語,12,2,技能検定試験,ប្រឡងសមត្ថិភាពជំនាញ
カンボジア語,12,3,受検（する）,(ធ្វើ)ការប្រឡង
カンボジア語,12,4,資格,សមត្ថភាព(ជំនាញ)
カンボジア語,12,5,手当,ប្ាក់ឧរត្ថមភ
カンボジア語,12,6,社員,រុគ្គលកិ ប្កមុ ហ ុន
カンボジア語,12,7,部長,ប្រធានផ្នែក
カンボジア語,12,8,課長,ប្រធានការយាិ លយ័
カンボジア語,12,9,更衣室,រនទរផ្ល់ ា ស់សធមាៀករំពាក់
カンボジア語,12,10,台車,រទះរុញឥវ៉ាន់
カンボジア語,12,11,床,កប្ាល
カンボジア語,12,12,出口,ប្រកធរញ
カンボジア語,12,13,電気,អគ្គីសនី
カンボジア語,12,14,警報音,សធមាងប្រកាសអាសនែ
カンボジア語,12,15,コンセント,ប្ពីធ្ាើង
カンボジア語,12,16,作業場,កផ្នាងធ្វើការ
カンボジア語,12,17,作業台,ត្ុធ្វើការ
カンボジア語,12,18,工事現場,ការដ្ឋា នសំណង់
カンボジア語,12,19,職長,អែកដឹកនាំប្កមុ
カンボジア語,12,20,作業責任者,អែកទទួលខុសប្ត្វូ ការងារ
カンボジア語,13,1,禁止,ហាម
カンボジア語,13,2,表示板,ផ្ទ ងាំ បង្ហា ញព័ត៍មាន
カンボジア語,13,3,禁止事項,ប្បការហាមឃាត់
カンボジア語,13,4,避難訓練,ហ្វកឹ ហាត់ជមមលៀសមេញ
カンボジア語,13,5,感電（する）,(ការ)ឆក់អគ្គីសនី
カンボジア語,13,6,防止（する）,(ការ)ការពារ
カンボジア語,13,7,予防（する）,(ការ)បង្ហា រ
カンボジア語,13,8,転倒（する）,(ការ)ដួល
カンボジア語,13,9,挟まる,គាប
カンボジア語,13,10,足元,មជើងមប្កាម
カンボジア語,13,11,不安定（な）,(ដដល)អមសេរភាព
カンボジア語,13,12,後片付け,ការមរៀបេាំមពលមប្កាយ
カンボジア語,13,13,救急箱,ប្បអប់សមប្ង្ហគ ោះបន្ទទ ន់
カンボジア語,13,14,絆創膏,បនទោះបិទមលើស្នា មរបួស
カンボジア語,13,15,体調,ស្នេ នភាពសុខភាពខល នួ
カンボジア語,13,16,血,ឈាម
カンボジア語,13,17,熱中症,ការដួលសនលបម់ ោយស្នរ កមតៅ
カンボジア語,13,18,吐き気,េង់កអ តួ
カンボジア語,13,19,嘔吐（する）,(ការ)កអ តួ
カンボジア語,13,20,足がつる,សាំយ ុងមជើង
カンボジア語,13,21,気分が悪い,មិនប្សួលខល នួ
