index,PyMuPDF日本語,pdfplumber日本語,PyMuPDF値,pdfplumber値,Page,No,日本語一致,翻訳一致
0,技能実習,技能実習,ករា ហវឹ្កហវឺ្នជំនញា,ការហ្វឹកហ្វឺនជំនាញ,1,1,True,False
15,安全カバー,安全カバー,គមរ្ បសុវតថិ្ភពា,គម្របសុវត្ថិភាព,2,1,True,False
30,監理団体,監理団体,អងគភ្ ពា គរ្ ប់គរ្ ង្,អង្គភាពគ្រប់គ្រង្,3,1,True,False
44,控除（する）,控除（する）,(ធ្វើករា )ករា កតា ់ថល្ ៃ,(ធ្វើការ)ការកាត់ថ្លៃ,4,1,True,False
56,社会保険,社会保険,ធនា រា ៉ារា ់រងសងគម,ធានារា៉ារ់រងសងគម,5,13,True,False
57,労災,労災,ធបគ្រ ុ្មះថនក្ន់ករា ងរា,ធប្រគ្មុះថ្នន ក់ការងារ,5,14,True,False
58,労災保険,労災保険,"ធនា រា ៉ារា ់រងធលើធបគ្រ ុ្មះ
ថនក្ន់ករា ងរា",ធានារា៉ារ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ,5,15,True,False
59,遅刻（する）,遅刻（する）,(ធ្វើករា ) មកយឺត,(ធ្វើការ) មកយឺត,6,1,True,False
75,整理,整理,មៃា របបៀប,មាៃរបបៀប,7,2,True,False
343,アンカー,アンカー,ដែកយុថា ា,ដែកយុថាា,31,8,True,False
362,縦筋,縦筋,សរសសដែកបញឈ្ រ,សរសសដែកបញ្ឈរ,34,2,True,False
363,下筋,下筋,សរសសដែកខងា ឡនក្ មា,សរសសដែកខាងឡន្កាម,34,3,True,False
365,腹筋,腹筋,សរសសដែកដកា ់ទទឹង,សរសសដែកដាក់ទទឹង,34,5,True,False
366,配力筋,配力筋,សរសសដែកដកា ់ឈរនត្ ង់,សរសសដែកដាក់ឈរន្តង់,34,6,True,False
367,上筋,上筋,សរសសដែកខងា ឡលើ,សរសសដែកខាងឡលើ,34,7,True,False
369,鉄筋径,鉄筋径,វជិ ាមនា ត្ សរសសដែក,វជិ ាមាន្តសរសសដែក,34,9,True,False
