言語,Page,番号,単語,翻訳
タガログ語,1,1,技能実習,Technical Intern Training
タガログ語,1,2,技能実習生,Technical Intern Trainee
タガログ語,1,3,工場,Pabrika
タガログ語,1,4,製造,Produksiyon
タガログ語,1,5,機械,Makina
タガログ語,1,6,安全,Kaligtasan
タガログ語,1,7,危険（な）,Delikado (Mapanganib)
タガログ語,1,8,危ない,Delikado
タガログ語,1,9,清掃,Simutin / Paglilinis
タガログ語,1,10,非常口,Emerhensyang labasan/Emergency exit
タガログ語,1,11,注意,Babala/Paunawa
タガログ語,1,12,火事,Sunog
タガログ語,1,13,事故,Akisidente
タガログ語,1,14,服装,Kasuotan
タガログ語,1,15,安全装置,Safety equipment/Kagamitan pangkaligtasan
タガログ語,2,1,安全カバー,Safety cover/Takip pang- kaligtasan
タガログ語,2,2,けが,Pinsala
タガログ語,2,3,けがをする,Mapinsala
タガログ語,2,4,電源,Supply ng kuryente
タガログ語,2,5,電源を切る,Putulin ang supply ng kuryente
タガログ語,2,6,非常停止ボタン,Emergency stop button
タガログ語,2,7,非常停止ボタンを押す,Pindutin ang emergency stop button
タガログ語,2,8,ルール,Patakaran
タガログ語,2,9,ルールを守る,Sumunod sa mga patakaran
タガログ語,2,10,止める,I-off
タガログ語,2,11,機械を止める,I-off ang makina
タガログ語,2,12,やって,Gawin mo
タガログ語,2,13,止めて,I-off mo
タガログ語,2,14,取って,Kunin mo
タガログ語,2,15,だめ（な）,Bawal (Ipinagbabawal )
タガログ語,3,1,監理団体,Namamahalang organisasyon
タガログ語,3,2,技術移転,Paglilipat ng kakayahan
タガログ語,3,3,技能実習期間,Panahon ng pagsasanay
タガログ語,3,4,職種,Uri ng trabaho
タガログ語,3,5,在留資格,Status ng paninirahan
タガログ語,3,6,パスポート,Pasaporte
タガログ語,3,7,在留カード,Residence card
タガログ語,3,8,入管,Immigration Bureau
タガログ語,3,9,在留期間,Panahon ng paninirahan
タガログ語,3,10,雇用契約,Kontrata sa trabaho
タガログ語,3,11,給与明細,Detalyadong paglalahad ng suweldo/Payment slip
タガログ語,3,12,給料,Suweldo
タガログ語,3,13,残業手当,Overtime work pay
タガログ語,3,14,労働時間,Oras ng trabaho
タガログ語,4,1,控除（する）,Bawas / Exemption (Babawasan)
タガログ語,4,2,ボーナス,Bonus
タガログ語,4,3,有休,Bakasyon na may bayad
タガログ語,4,4,代休,Compensatory leave
タガログ語,4,5,労働基準法,The Labour Standards Act
タガログ語,4,6,労働条件,Kondisyon sa trabaho
タガログ語,4,7,税金,Buwis
タガログ語,4,8,所得税,Buwis sa kita
タガログ語,4,9,住民税,Buwis sa paninirahan
タガログ語,4,10,厚生年金,Employees’ pension insurance
タガログ語,4,11,雇用保険,Employment insurance
タガログ語,5,12,健康保険,Health insurance
タガログ語,5,13,社会保険,Labour insurance
タガログ語,5,14,労災,Worker’s accident
タガログ語,5,15,労災保険,Worker’s accident compensation insurance
タガログ語,6,1,遅刻（する）,Huli (Mahuhuli)
タガログ語,6,2,早退（する）,Umalis ng maaga (Aalis ng maaga)
タガログ語,6,3,休憩（する）,Pahinga (Magpapahinga)
タガログ語,6,4,残業（する）,Overtime (Magtrabaho na lampas sa takdang oras / Magtrabaho ng overtime)
タガログ語,6,5,定時,Regular na oras / Takdang oras
タガログ語,6,6,規則,Patakaran
タガログ語,6,7,休日,Day-off
タガログ語,6,8,始業時間,Oras ng simula
タガログ語,6,9,終業時間,Oras ng katapusan
タガログ語,6,10,指導員,Tagapagturo
タガログ語,6,11,生活指導員,Tagapagturo ng pamumuhay
タガログ語,6,12,担当者,Person in charge / Taong namamahala
タガログ語,6,13,スイッチ入れるな,Huwag i-on ang switch
タガログ語,6,14,スイッチ切るな,Huwag i-off ang switch
タガログ語,6,15,使用禁止,Bawal gamitin
タガログ語,7,1,5S,5S
タガログ語,7,2,整理,Suriin
タガログ語,7,3,整頓,Sinupin
タガログ語,7,4,清掃,Simutin
タガログ語,7,5,清潔,Siguruhin ang kalinisan
タガログ語,7,6,しつけ,Sariling Kusa
タガログ語,7,7,掃除（する）,Linis (Maglilinis)
タガログ語,8,8,片づける,Iaayos
タガログ語,8,9,捨てる,Itatapon
タガログ語,8,10,汚い,Marumi / Madumi
タガログ語,8,11,汚れる,Marumihan
タガログ語,8,12,分別（する）,Klasipikasyon (Magbubukod)
タガログ語,8,13,燃えないごみ,Basurang hindi sinusunog
タガログ語,8,14,燃えるごみ,Basurang sinusunog
タガログ語,8,15,挟まれる,Maiipit
タガログ語,8,16,巻き込まれる,Makawit
タガログ語,8,17,やけど（する）,Paso (Mapaso)
タガログ語,8,18,落ちる,Mahulog
タガログ語,8,19,すべる,Madulas
タガログ語,9,20,転ぶ,Madapa
タガログ語,9,21,濡れる,Mabasa
タガログ語,9,22,衛生,Kaligtasan / Pangangalaga sa kalusugan
タガログ語,9,23,避難（する）,Paglisan (Lumikas)
タガログ語,9,24,救急車,Ambulansya
タガログ語,9,25,災害,Sakuna
タガログ語,9,26,地震,Lindol
タガログ語,9,27,もぐる,Sisisid / Punta sa ilalim
タガログ語,10,1,火気厳禁,Mahigpit na ipinagbabawal ang
タガログ語,10,2,開放厳禁,Mahigpit na ipinagbabawal ang
タガログ語,10,3,標識,Babala / Tagapagpahiwatig
タガログ語,10,4,気をつける,Mag-iingat
タガログ語,10,5,持ち込む,Dadalhin sa loob
タガログ語,10,6,防ぐ,Iwasan
タガログ語,10,7,火,Apoy
タガログ語,10,8,煙,Usok
タガログ語,10,9,消火,Patayin ang apoy
タガログ語,10,10,消火器,Fire extinguisher
タガログ語,10,11,非常ベル,Emergency bell
タガログ語,10,12,火災報知機,Fire alarm
タガログ語,10,13,逃げる,Tumakbo palayo
タガログ語,10,14,現場,Lugar ng trabaho
タガログ語,10,15,作業,Trabaho
タガログ語,10,16,ミーティング,Miting
タガログ語,10,17,研修（する）,Pagsasanay (Magsasanay)
タガログ語,10,18,実習（する）,Training (Pagtratrain)
タガログ語,11,19,あいさつ,Pagbati
タガログ語,11,20,確認（する）,Check / Kumpirmasyon (I-checheck / Susuriin)
タガログ語,11,21,報告（する）,Report / Ulat(Mag-report / Ipagbigay-alam)
タガログ語,11,22,連絡（する）,Kontak (Makipag-ugnayan)
タガログ語,11,23,相談（する）,Konsulta (Magkonsulta)
タガログ語,11,24,渡す,Iaabot
タガログ語,11,25,申請書,Pormat ng aplikasyon
タガログ語,11,26,寝坊（する）,Nagising ng tanghali (Magigising ng tanghali)
タガログ語,12,1,技能,pagsasanay
タガログ語,12,2,技能検定試験,Trade Skills Test
タガログ語,12,3,受検（する）,Pagkuha ng pagsusulit
タガログ語,12,4,資格,kwalipikasyon
タガログ語,12,5,手当,allowance
タガログ語,12,6,社員,empleyado
タガログ語,12,7,部長,hepe ng departamento
タガログ語,12,8,課長,hepe ng seksyon
タガログ語,12,9,更衣室,silid bihisan
タガログ語,12,10,台車,kariton
タガログ語,12,11,床,sahig
タガログ語,12,12,出口,labasan
タガログ語,12,13,電気,kuryente
タガログ語,12,14,警報音,babalang ingay
タガログ語,12,15,コンセント,saksakan ng kuryente
タガログ語,12,16,作業場,lugar ng trabaho
タガログ語,12,17,作業台,lamesa ng trabaho
タガログ語,12,18,工事現場,lugar ng konstruksyon
タガログ語,12,19,職長,foreman
タガログ語,12,20,作業責任者,tagapangasiwa ng trabaho
タガログ語,13,1,禁止,bawal
タガログ語,13,2,表示板,karatula
タガログ語,13,3,禁止事項,bagay na bawal gawin
タガログ語,13,4,避難訓練,evacuation drill
タガログ語,13,5,感電（する）,pagkakuryente / makuryente
タガログ語,13,6,防止（する）,pagpigil / pigilan
タガログ語,13,7,予防（する）,pag-iwas / iwasan
タガログ語,13,8,転倒（する）,pagbagsak / bumagsak
タガログ語,13,9,挟まる,maipit
タガログ語,13,10,足元,paanan
タガログ語,13,11,不安定（な）,hindi matatag
タガログ語,13,12,後片付け,pagliligpit pagkatapos
タガログ語,13,13,救急箱,first-aid kit
タガログ語,13,14,絆創膏,panakip sa sugat
タガログ語,13,15,体調,pisikal na kondisyon
タガログ語,13,16,血,dugo
タガログ語,13,17,熱中症,heatstroke
タガログ語,13,18,吐き気,alibadbad
タガログ語,13,19,嘔吐（する）,pagsusuka / magsusuka
